Year,Tmax
1850,294.5128479003906
1851,296.55084228515625
1852,295.21978759765625
1853,296.6469421386719
1854,297.2664794921875
1855,296.5379333496094
1856,296.3931579589844
1857,296.97662353515625
1858,295.73895263671875
1859,295.1037902832031
1860,297.5061950683594
1861,296.8523254394531
1862,296.29278564453125
1863,296.0885009765625
1864,297.4906005859375
1865,295.2631530761719
1866,294.68817138671875
1867,295.3058776855469
1868,296.4300537109375
1869,296.47589111328125
1870,295.3932800292969
1871,294.6932678222656
1872,295.9823913574219
1873,295.9671325683594
1874,297.3331604003906
1875,296.3831481933594
1876,297.30096435546875
1877,297.1358642578125
1878,295.5335998535156
1879,296.76123046875
1880,296.26910400390625
1881,296.45758056640625
1882,295.0985412597656
1883,295.6865234375
1884,295.7944030761719
1885,295.8906555175781
1886,295.819091796875
1887,295.1889343261719
1888,296.4866027832031
1889,295.0653076171875
1890,296.1866455078125
1891,294.601806640625
1892,294.33721923828125
1893,295.8896484375
1894,295.2258605957031
1895,297.1772766113281
1896,296.9720153808594
1897,295.55377197265625
1898,296.32513427734375
1899,296.6915588378906
1900,295.964599609375
1901,296.11260986328125
1902,296.4980163574219
1903,294.71875
1904,297.053955078125
1905,296.691650390625
1906,295.0712585449219
1907,294.4184265136719
1908,295.0260925292969
1909,295.704345703125
1910,295.32415771484375
1911,297.70050048828125
1912,295.7332763671875
1913,296.352294921875
1914,296.1911315917969
1915,294.47119140625
1916,296.29620361328125
1917,295.9107666015625
1918,295.03265380859375
1919,295.716796875
1920,297.1242370605469
1921,297.0063781738281
1922,294.3146057128906
1923,296.59002685546875
1924,296.0783996582031
1925,296.26116943359375
1926,297.30413818359375
1927,297.74200439453125
1928,296.64727783203125
1929,295.8819274902344
1930,295.6786193847656
1931,297.8646240234375
1932,296.0523986816406
1933,296.7618103027344
1934,296.6458435058594
1935,296.3565979003906
1936,295.03594970703125
1937,295.93756103515625
1938,297.13946533203125
1939,297.77813720703125
1940,295.8567810058594
1941,296.9344177246094
1942,294.8736267089844
1943,295.5596008300781
1944,295.9803161621094
1945,296.8177185058594
1946,295.6761169433594
1947,295.7463073730469
1948,295.3637390136719
1949,297.259033203125
1950,296.7377624511719
1951,296.49444580078125
1952,296.2380065917969
1953,295.6704406738281
1954,294.9897155761719
1955,297.3516845703125
1956,297.6918640136719
1957,297.1195983886719
1958,295.8441162109375
1959,295.1791687011719
1960,296.1300048828125
1961,296.4460754394531
1962,295.9068908691406
1963,296.1746520996094
1964,294.86578369140625
1965,294.6822204589844
1966,295.1360778808594
1967,294.7052917480469
1968,295.2454528808594
1969,295.7183837890625
1970,295.7403869628906
1971,294.509765625
1972,296.30364990234375
1973,297.24072265625
1974,295.4820861816406
1975,296.34765625
1976,296.3218078613281
1977,295.98675537109375
1978,297.0190124511719
1979,295.5031433105469
1980,297.60357666015625
1981,294.0838623046875
1982,295.4196472167969
1983,295.9332275390625
1984,296.4104919433594
1985,296.9822692871094
1986,296.0179443359375
1987,296.6790771484375
1988,296.1832275390625
1989,296.1813049316406
1990,296.9841003417969
1991,296.96978759765625
1992,295.2374572753906
1993,294.76190185546875
1994,296.44024658203125
1995,295.52313232421875
1996,295.018310546875
1997,295.88214111328125
1998,296.3589782714844
1999,295.8240966796875
2000,295.9401550292969
2001,297.37652587890625
2002,296.2649841308594
2003,295.42230224609375
2004,296.4167175292969
2005,297.70098876953125
2006,297.4373779296875
2007,297.2462463378906
2008,296.8370361328125
2009,297.1112060546875
2010,297.1111145019531
2011,297.8167419433594
2012,295.2485046386719
2013,299.9186096191406
2014,298.2786560058594
